,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NATIONAL,REGIONAL,2016,2015,Institution Name,Country/ Territory,Classification,,,,,Academic Reputation,,Employer Reputation,,Faculty Student,,Citations per Faculty,,International Faculty,,International Students,,Overall,,,,,
,,RANK,RANK,RANK,RANK,,,SIZE,FOCUS,RES.,AGE,STATUS,SCORE,RANK,SCORE,RANK,SCORE,RANK,SCORE,RANK,SCORE,RANK,SCORE,RANK,SCORE,,,,,
sort order,id,rank in country,rank in subregion,rank display,rank display2,institution,country code,size,focus,research,age band,status,ar score,ar rank,er score,er rank,fsr score,fsr rank,cpf score,cpf rank,ifr score,ifr rank,isr score,isr rank,score scaled,,,,,
56481070,613,3,12,56,56,TOKYO INSTITUTE OF TECHNOLOGY,JP,M,CO,VH,5,A,82.7,71,77.4,102,90.4,74,67.5,130,25.3,401+,26.3,401+,74.9,,,,,
57692053,18,1,15,57,55,UNIVERSITY OF AMSTERDAM,NL,L,FC,VH,5,A,91.4,54,77.5,101,42.8,308,80.2,77,72.4,207,35.3,375,74.3,,,,,
58070069,101,21,24,58,  62=,CARNEGIE MELLON UNIVERSITY,US,L,FC,VH,5,B,83.8,70,81.4,88,35.1,372,94.1,33,32.2,382,99.8,24,74.2,,,,,
59882049,667,22,25,59,65,UNIVERSITY OF WASHINGTON,US,XL,FC,VH,5,A,91.8,50,52.8,204,45.7,291,92.0,40,40.6,336,47.5,301,73.9,,,,,
60452067,599,1,16,60,60,TECHNISCHE UNIVERSITƒT M‹NCHEN,DE,XL,CO,VH,5,A,85.0,68,97.6,33,86.4,91,28.9,401+,53.7,286,57.0,246,72.4,,,,,
61413064,556,4,13,61,  70=,SHANGHAI JIAO TONG UNIVERSITY,CN,XL,FC,VH,5,A,87.1,65,95.7,38,37.3,346,80.1,78,71.0,211,15.1,401+,72.2,,,,,
62112091,155,2,17,62,64,DELFT UNIVERSITY OF TECHNOLOGY,NL,L,CO,VH,5,A,75.6,92,86.9,68,28.3,401+,94.2,31,96.5,105,74.8,161,72.1,,,,,
63351061,472,4,14,  63=,58,OSAKA UNIVERSITY,JP,L,FC,VH,4,A,88.6,62,68.2,124,83.1,105,57.0,180,15.1,401+,15.8,401+,71.7,,,,,
63755078,231,11,18,  63=,  62=,UNIVERSITY OF GLASGOW,UK,L,FC,VH,5,A,80.0,79,63.0,145,61.6,208,57.6,176,91.2,135,96.9,63,71.7,,,,,
65296050,412,6,6,65,67,MONASH UNIVERSITY,AU,XL,FC,VH,4,A,91.8,51,93.1,53,13.7,401+,64.2,143,100.0,44,96.4,66,71.6,,,,,
66768039,2090,23,26,66,59,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,US,XL,FC,VH,5,A,95.1,40,62.2,152,15.5,401+,93.8,34,35.3,367,71.2,178,71.4,,,,,
67862031,604,24,27,67,77,UNIVERSITY OF TEXAS AT AUSTIN,US,XL,FC,VH,5,A,97.5,32,82.9,80,13.5,401+,96.1,23,8.9,401+,22.6,401+,70.7,,,,,
68273035,420,2,19,  68=,75,LUDWIG-MAXIMILIANS-UNIVERSITƒT M‹NCHEN,DE,XL,FC,VH,5,A,96.1,36,83.5,78,43.6,302,49.3,241,58.6,266,39.0,352,70.2,,,,,
68317037,441,1,15,  68=,  70=,NATIONAL TAIWAN UNIVERSITY (NTU),TW,XL,FC,VH,4,A,95.7,38,68.9,121,36.0,357,80.7,74,15.7,401+,19.4,401+,70.2,,,,,
68735074,141,1,1,  68=,69,UNIVERSITY OF COPENHAGEN,DK,XL,FC,VH,5,A,81.9,75,64.8,138,100.0,21,25.0,401+,86.0,168,31.3,401+,70.2,,,,,
71154090,225,25,28,71,84,GEORGIA INSTITUTE OF TECHNOLOGY (GEORGIA TECH),US,L,CO,VH,5,A,76.1,91,78.0,100,48.8,272,86.0,57,5.0,401+,87.5,114,69.8,,,,,
72397058,259,3,20,72,66,RUPRECHT-KARLS-UNIVERSITƒT HEIDELBERG,DE,L,FC,VH,5,A,90.1,59,70.5,117,69.7,159,36.4,340,48.4,305,59.5,237,69.7,,,,,
73274073,371,1,2,73,  70=,LUND UNIVERSITY,SE,L,FC,VH,5,A,82.0,74,78.8,95,49.3,267,51.7,217,89.1,148,73.3,173,69.1,,,,,
74121129,170,12,21,74,61,DURHAM UNIVERSITY,UK,L,FC,VH,5,A,64.9,130,95.7,39,30.7,401+,89.5,43,94.0,123,87.6,113,68.8,,,,,
75470103,459,13,22,  75=,  70=,THE UNIVERSITY OF NOTTINGHAM,UK,L,FC,VH,5,A,71.4,104,91.3,60,59.0,216,50.7,223,90.3,143,87.9,111,68.7,,,,,
75479082,611,5,16,  75=,74,TOHOKU UNIVERSITY,JP,L,FC,VH,5,A,78.7,83,57.5,174,97.9,45,52.3,213,13.3,401+,17.8,401+,68.7,,,,,
77849171,570,14,23,77,68,UNIVERSITY OF ST ANDREWS,UK,M,FC,VH,5,A,54.3,172,58.4,167,73.0,149,79.2,82,98.2,77,99.9,20,68.2,,,,,
